polish,english,other,type
niebywały,exceptional,,
niechciany,unwanted,,
nieco,somewhat,,
niedawny,recent,,
niedbałość,negligence,,
niedbały,negligent/careless,,
niedopuszczalny,unacceptable,,
niedorzeczny,absurd/preposterous,,
niedostatek,deficiency/scarcity,,
niedowaga,underweight,,
niedoświadczony,inexperienced,,
niegdyś,formerly,,
niekończący się,never-ending,,
nieletni,juvenille,,
niemal,almost/nearly,,
niemy,mute/dumb/speechless,,
nienaganny,impeccable/irreproachable,,
nienaruszony,intact,,
nienawiść,hatred,,
nieoczekiwany,unexpected,,
nieodpłatny,free of charge II,,
nieokreślony,indefinite/indeterminate,,
nieosiągalny,unattainable,,
niepamięć,oblivion,,
niepełnosprawny,disabled,,
niepodatny,impervious/insusceptible,,
niepodległość,political/national independence,,
niepojęty,inconceivable,,
niepokoić,to worry (repeated),,
niepokojący,worrying/disturbing,,
niepokój,anxiety/concern,,
nieporadny,incompetent/helpless,,
nieporozumienie,misunderstanding,,
niepostrzeżony,unnoticed,,
niepotwierdzony,unconfirmed,,
niepowodzenie,fiasco/failure,,
niepowtarzalność,uniqueness,,
niepozorny,inconspicuous,,
nieproszony,uninvited,,
nieprzebyty,impassable,,
nieprzejednany,implacable,,
nieprzerwany,uninterrupted,,
nieprzypadkowo,"intentionally, not accidentally",,
nieprzystosowany,ill-suited/ill-fitted,,
nieprzytomny,unconscious,,
nieraz,many a time,,
nieruchomy,"still, not moving",,
nierzetelny,unreliable/shoddy,,
niesmak,distaste,,
niespełna,nearly,,
niespełniony,unfulfilled,,
niespodzianka,surprise,,
niespodziewany,unexpected/unforeseen,,
niespotykany,unprecedented,,
niespożyty,inexhaustible,,
niesprawiedliwy,unfair/unjust,,
nieswojo,uneasy/uncomfortable,,
nieszczęsny,wretched/luckless,,
niesłabnący,unfaltering/unfailing,,
niesława,infamy,,
niesłuszny,unfair/wrong,,
niesłychany,unheard of,,
nietknięty,untouched/unharmed/intact,,
nieubłagany,inexorable/unrelenting,,
nieuczciwy,dishonest,,
nieudawany,unfeigned,,
nieudolnie,clumsily,,
nieuleczalny,incurable,,
nieunikniony,unavoidable,,
nieustannie,continuously/continually,,
nieuzasadniony,unfounded,,
niewiadomy,unknown,,
niewiarygodny,unbelievable/incredible,,
niewierność,infidelity,,
niewinność,innocence,,
niewola,captivity,,
niewolnica,slave (female),,
niewolnik,slave (male),,
niewątpliwy,undoubted,,
niezachwiany,unwavering/unshakable,,
niezależność,independence,,
niezależny,independent I,,
niezaprzeczalny,undeniable/indisputable,,
niezbadany,unexplored,,
niezbędny,indispensable/necessary/essential,,
niezdarny,clumsy/awkward II,,
niezgodność,incompatibility,,
nieznaczny,insignificant/slight,,
nieznajomy,stranger,,
nieznośny,unbearable,,
niezrozumiały,incomprehensible/unintelligible,,
niezrównany,unrivalled,,
niezręczny,clumsy/awkward I,,
niezwykły,unusual,,
niezwłoczny,immediate/prompt,,
nieśmiały,shy,,
nieśmiertelność,immortality,,
nijaki,nondescript/neuter,,
niszczyć,to devastate/destroy (repeated),,
niższość,inferiority,,
niższy,lower,,
nocleg,overright accommodation,,
nocować,to spend/stay the night (repeated),,
nora,burrow/den/hole,,
nosidełko,child carrier (sling),,
notoryczny,notorious,,
notować,to note (repeated),,
nowatorski,innovative,,
nowinka,gossip,,
nowo,newly,,
noworodek,newborn (baby),,
nowotwór,tumour,,
nowożeńcy,newly-weds,,
nozdrze,nostril,,
nurkować,to dive (repeated),,
nurt,current (of water),,
nuta,note/tone,,
nużyć,to tire/weary (repeated),,
nękać kogoś czymś,to plague somebody with something,,
oba,"both (m, n)",,
obaj mężczyźni,both men,,
obawa,anxiety/fear,,
obawiać się,to be afraid/concerned,,
obcas,heel,,
obcinać,to clip/trim (repeated),,
obciąć,to clip/trim (once),,
obciążać,to burden/load (repeated),,
obciążenie,burden/load,,
obciążyć,to burden/load (once),,
obcokrajowiec,foreigner,,
obcować z czymś,to mix/commune with something,,
obcy,foreign/strange,,
obdarzać,to bestow (repeated),,
obdarzyć,to bestow (once),,
obdukcja,autospy,,
obecnie,currently/presently,,
obecność,presence,,
obecny,current/present,,
obejmować,to embrace/include/encompass (repeated),,
obejrzeć,to watch/look at (once),,
obelga,insult/abuse,,
obetniesz (obciąć),You will clip/trim,,
obetnę (obciąć),I will clip/trim,,
obeznany z czymś,knowledgeable about something,,
obezwładniać,to overpower (repeated),,
obezwładnić,to overpower (once),,
obfity,abundant,,
obie,both (f),,
obie kobiety,both women,,
obiecaj (obiecać),Promise! (once),,
obiecam (obiecać),I will promise,,
obiecasz (obiecać),You will promise,,
obiecać,to promise I (once),,
obiecuj (obiecywać),Promise! (repeated),,
obiecujesz (obiecywać),You promise,,
obiecuję (obiecywać),I promise,,
obiecywać,to promise I (repeated),,
obiektyw,lens I,,
obierać,to peel/shell/skin (repeated),,
obietnica,(a) promise,,
obieżyświat,globetrotter,,
objadać się czymś,to gorge oneself with something (repeated),,
objaw,symptom,,
objawiać,to manifest (repeated),,
objawić,to manifest (once),,
objaśniać,to clarify (repeated),,
objaśnić,to clarify (once),,
objeść się czymś,to gorge oneself with something (once),,
objąć,to embrace/include/encompass (once),,
obleśny,lecherous/revolting,,
obliczać,to calculate/compute/estimate (repeated),,
oblicze,face,,
obliczyć,to calculate/compute/estimate (once),,
obluzować,to loosen (once),,
obluzowywać,to loosen (repeated),,
obniżać,to lower (repeated),,
obniżyć,to lower (once),,
oboje,both (man and woman),,
obojętny,indifferent/irrelevant,,
obowiązek,duty/obligation,,
obowiązkowy,compulsory/obligatory/conscientious,,
obozować,to camp,,
obozowisko,campsite,,
obracać się,to pivot/revolve (repeated),,
obraz,image/picture/painting,,
obrazić,to offend/insult (once),,
obrać,to peel/shell/skin (once),,
obrażać,to offend/insult (repeated),,
obrażony,offended,,
obrona,defense,,
obronić,to defend (once),,
obrońca,defender,,
obrus,tablecloth,,
obrzeże,edge I,,
obrzucać,to heap/hurl (repeated),,
obrzucić,to heap/hurl (once),,
obrzydliwy,disgusting/sickening,,
obrócić się,to pivot/revolve (once),,
obsada,crew/staff/cast,,
obskurny,dingy/shabby,,
obszar,area/territory,,
obszerny,spacious/loose/lengthy,,
obsługiwać,to serve or to operate (repeated),,
obsłużyć,to serve or to operate (once),,
oburzający,outrageous,,
oburzony,indignant/outraged,,
obuwie,footwear,,
obuwniczy,footwear,,
obwiniać kogoś o coś,to accuse/blame someone of/for something (repeated),,
obwinić kogoś o coś,to accuse/blame someone of/for something (once),,
obwisły,sagging/drooping,,
obwódka,border II,,
obwąchać,to sniff around (once),,
obwąchiwać,to sniff around (repeated),,
obyczaj,habit/custom,,
obywatel,citizen,,
obóz,camp,,
obłok,cloud,,
obłąkany,crazy/mad,,
ocalać,to rescue/save II (repeated),,
ocaleć,to survive II,,
ocalić,to rescue/save II (once),,
ocena,grade/mark,,
oceniać,to appraise (repeated),,
ocenić,to appraise (once),,
ocenzurować,to censor (once),,
ocet,vinegar,,
ochrona,protection/security,,
ochrypły,hoarse II,,
ochłap,offal,,
ochłodzić,to cool (once),,
oczekiwanie,anticipation,,
oczekiwać,to anticipate,,
oczekuj (oczekiwać),Anticipate!,,
oczekujesz (oczekiwać),You are anticipating,,
oczekuję (oczekiwać),I am anticipating,,
oczyszczać,to purify (repeated),,
oczyścić,to purify (once),,
od nowa,from scratch,,
odbicie,reflection,,
odbierać,to take back (repeated),,
odbiorca,recipient,,
odbiór,receipt,,
odblask,reflection/glare/glow,,
odblaskowy,reflective,,
odburkiwać,to mutter in reply (repeated),,
odburknąć,to mutter in reply (once),,
odbywa się (odbywać się),it is taking place,,
odbywają się (odbywać się),they are taking place,,
odbywać się,to take place (repeated),,
odbyć się,to take place (once),,
odbędzie się (odbyć się),it will take place,,
odbędą się (odbyć się),they will take place,,
odcedzać,to strain or drain off (repeated),,
odcedzić,to strain or drain off (once),,
odchodzić,to go away (repeated),,
odcień,shade,,
odcinek,section/episode/segment,,
odcisk,imprint,,
odcięty,cut off from,,
odczepiać,to detach/uncouple (repeated),,
odczepić,to detach/uncouple (once),,
oddadzą (oddać),They will give back,,
oddaj (oddać),Give back! (once),,
oddajesz (oddawać),You are giving back,,
oddaję (oddawać),I am giving back,,
oddalać,to move away (repeated),,
oddalenie,remoteness,,
oddalić,to move away (once),,
oddam (oddać),I will give back,,
oddanie,devotion,,
oddany,devoted,,
oddawaj (oddawać),Give back! (repeated),,
oddawać,"to give back, to return (repeated)",,
oddać,"to give back, to return (once)",,
oddychać,to breathe (repeated),,
oddział,troop/squad,,
oddzielnie,separately/apart II,,
odebrać,to take back (once),,
odejdziesz (odejść),You will go away,,
odejdę (odejść),I will go away,,
odejmiesz (odjąć),You will subtract,,
odejmować,to subtract (repeated),,
odejmę (odjąć),I will subtract,,
odejść,to go away (once),,
odeprzeć,to rebuff (once),,
oderwać,to tear away (once),,
oderwiesz (oderwać),You will tear away,,
oderwę (oderwać),I will tear away,,
odesłać,to send back (once),,
odetchnąć,to breathe (once),,
odezwać,to speak (once),,
odezwiesz (odezwać),You will speak,,
odezwę (odezwać),I will speak,,
odgadnąć,to solve II (once),,
odgadywać,to solve II (repeated),,
odgłos,sound/noise,,
odizolować,to isolate (once),,
odjechać,to leave/depart (by vehicle) (once),,
odjeżdżać,to leave/depart (by vehicle) (repeated),,
odjąć,to subtract (once),,
odkrycie,discovery,,
odkrywać,to discover (repeated),,
odkryć,to discover (once),,
odkręcaj (odkręcać),Unscrew/loosen! (repeated),,
odkręcam (odkręcać),I am unscrewing/loosening,,
odkręcasz (odkręcać),You are unscrewing/loosening,,
odkręcać,to unscrew/loosen (repeated),,
odkręcisz (odkręcić),You will unscrew/loosen,,
odkręcić,to unscrew/loosen (once),,
odkręcę (odkręcić),I will unscrew/loosen,,
odkręć (odkręcić),Unscrew/loosen! (once),,
odkurzacz,vacuum cleaner,,
odkurzać,to vacuum (repeated),,
odkurzyć,to vacuum (once),,
odkąd,ever since,,
odkładać,to put back (repeated),,
odległość,distance I,,
odległy,distant/remote,,
odludek,recluse/hermit,,
odludzie,the backwoods,,
odmawiać,to refuse/deny (repeated),,
odmieniać,to conjugate/decline (repeated),,
odmienić,to conjugate/decline (once),,
odmówić,to refuse/deny (once),,
odmładzać,to rejuvenate (repeated),,
odmłodzić,to rejuvenate (once),,
odnajdować,to find again (repeated),,
odnaleźć,to find again (once),,
odnawiać,to renew/restore (repeated),,
odnowisz (odnowić),You will renew/restore,,
odnowić,to renew/restore (once),,
odnowię (odnowić),I will renew/restore,,
odosobnienie,isolation/seclusion,,
odpady,waste,,
odpierać,to rebuff (repeated),,
odpoczynek,rest,,
odpoczywać,to rest (repeated),,
odpocząć,to rest (once),,
odporny,resistent,,
odpowiadać,to answer (repeated),,
odpowiedni,correct/appropriate,,
odpowiednik,equivalent,,
odpowiedzialność,responsibility,,
odpowiedzialny,responsible,,
odpowiedzieć,to answer (once),,
odpowietrznik,air vent,,
odprawa,briefing,,
odprężać,to relax (repeated),,
odprężyć,to relax (once),,
odpędzać,to drive away/off (repeated),,
odpędzić,to drive away/off (once),,
odpływ,low tide,,
odreagować,to shake off (once),,
odreagowywać,to shake off (repeated),,
odrobina,a bit of,,
odruch,reflex,,
odrywać,to tear away (repeated),,
odrzucenie,rejection/dismissal,,
odróżniać,to distinguish (repeated),,
odróżnisz (odróżnić),You will distinguish,,
odróżnić,to distinguish (once),,
odróżnię (odróżnić),I will distinguish,,
odrębny,separate/distinct,,
odrętwienie,numbness,,
odsetek,percentage,,
odstawiać,to put aside/away (repeated),,
odstawienie,withdrawal,,
odstawić,to put aside/away (once),,
odstęp,interval/space/clearance/distance,,
odsunąć się,to back off/away (once),,
odsuwać się,to back off/away (repeated),,
odsyłać,to send back (repeated),,
odsłaniać,to reveal/unveil (repeated),,
odsłonić,to reveal/unveil (once),,
odtruć,to detoxify,,
odtąd,from now on,,
odurzać,to become intoxicated (repeated),,
odurzyć,to become intoxicated (once),,
odwaga,courage,,
odważać się,to dare I (repeated),,
odważny,brave/courageous,,
odważyć się,to dare I (once),,
odwdzięczać się,to repay (repeated),,
odwdzięczyć się,to repay (once),,
odwet,retaliation/revenge,,
odwieczny,perrenial,,
odwiedzać,to visit (repeated),,
odwiedzić,to visit (once),,
odwieziesz (odwieźć),You will give a lift back,,
odwieźć,to give a lift back (once),,
odwiozę (odwieźć),I will give a lift back,,
odwozić,to give a lift back (repeated),,
odwołać,to cancel/withdraw (once),,
odwoływać,to cancel/withdraw (repeated),,
odwrotny,opposite II,,
odwzajemniać,to reciprocate (repeated),,
odwzajemnić,to reciprocate (once),,
odziedziczyć,to inherit (once),,
odzież,clothes/clothing,,
odzieżowy,clothes/clothing,,
odzyskać,to regain (once),,
odzyskiwać,to regain (repeated),,
odzywać,to speak (repeated),,
odłamek,sliver/shard/shrapnel,,
odłożyć,to put back (once),,
odświeżać,to refresh (repeated),,
odświeżyć,to refresh (once),,
odświętny,festive/ceremonial/showy,,
odżywianie,nutrition,,
odżywiać,to feed/nourish (repeated),,
odżywiony,nourished,,
odżywić,to feed/nourish (once),,
ofiara,victim,,
oglądać,to watch/look at (repeated),,
ognisko,bonfire/campfire,,
ogniwo,link,,
ograniczać,to restrict/limit/reduce (repeated),,
ograniczenie,limitation,,
ograniczyć,to restrict/limit/reduce (once),,
ogrodzenie,fence II,,
ogrzać,to warm up (once),,
ogrzewać,to warm up (repeated),,
ogólnodostępny,readily accessible or available,,
ogólnokształcący,general education,,
ogłoszenie,notice/announcement,,
ohydny,hideous I,,
ojczym,stepfather,,
ojczysty,native I,,
ojczyzna,homeland/motherland,,
okalający,surrounding/encircling,,
okaz,specimen,,
okazać,to display (once),,
okazywać,to display (repeated),,
okleina,veneer,,
okleić,to stick (over) (once),,
oklejać,to stick (over) (repeated),,
okolica,neighbourhood I,,
okolicznościowy,occasional,,
okoliczność,circumstance,,
określenie,term/designation,,
określony,specific,,
okruch,crumb,,
okrucieństwo,cruelty,,
okrutny,cruel/severe/savage,,
okrycie,covering/garment/coat,,
okrzyk,shout/cry/exclamation,,
okręt,ship,,
okup,ransom,,
okładka,cover II,,
okłamać kogoś,to deceive (or lie to) somebody (once),,
okłamiesz kogoś (okłamać kogoś),You will deceive somebody,,
okłamię kogoś (okłamać kogoś),I will deceive somebody,,
okłamywać kogoś,to deceive (or lie to) somebody (repeated),,
olbrzymi,gigantic,,
olśniewać,to dazzle (repeated),,
olśnić,to dazzle (once),,
omijać,to bypass/avoid/evade (repeated),,
ominąć,to bypass/avoid/evade (once),,
oniemieć,to be struck dumb,,
opar,fume/mist/vapour,,
opaska,bandage/armband,,
opieka,care,,
opiekować się,to look after (repeated),,
opiekun,carer,,
opierać,to lean/rest (repeated),,
opinia,opinion,,
opis,description,,
opisać,to describe (once),,
opisywać,to describe (repeated),,
opodal,nearby,,
opona,tyre,,
opowieść,story/tale,,
oprawka,frames (of glasses) or holder,,
oprogramowanie,software,,
oprzeć,to lean/rest (once),,
oprócz,"except, apart from",,
opróżniać,to empty (repeated),,
opróżnić,to empty (once),,
opustoszały,deserted,,
opuszczać,to abandon/leave (repeated),,
opuścić,to abandon/leave (once),,
opór,resistance/drag/reluctance,,
opóźniać,to delay/retard (repeated),,
opóźnić,to delay/retard (once),,
opętany,possessed,,
opłakany,deplorable/lamentable,,
opłata,charge/fee/fare,,
opłatek,wafer,,
opłukać,to rinse (once),,
orzec,to rule/adjudicate (once),,
orzekać,to rule/adjudicate (repeated),,
orzeł,eagle,,
osada,settlement,,
osadzać,to embed (repeated),,
osadzić,to embed (once),,
oschły,stiff,,
osiedlać,to settle (repeated),,
osiedle,(housing) estate,,
osiedlić,to settle (once),,
osierocić,to orphan,,
osiągać,to achieve (repeated),,
osiągnąć,to achieve (once),,
oskarżać kogoś o coś,to accuse somebody of something (repeated),,
oskarżyć kogoś o coś,to accuse somebody of something (once),,
osmalony,blackened/charred,,
osnuty na czymś,based on something,,
osobisty,personal,,
osobiście,personally,,
osobliwy,peculiar,,
osobno,separately/apart I,,
osobność,privacy,,
osobowość,personality,,
ostatecznie,eventually/ultimately,,
ostrość,sharpness,,
ostrożnie,carefully,,
ostrze,edge/blade,,
ostrzec,to warn (once),,
ostrzegać,to warn (repeated),,
ostrzegę (ostrzec),I will warn,,
ostrzeżenie,warning,,
ostrzeżesz (ostrzec),You will warn,,
ostrzyć,to sharpen (repeated),,
ostygnąć,to cool down (once),,
osunąć się,to subside/slip/sink (once),,
osuwać się,to subside/slip/sink (repeated),,
oszacować,to estimate/assess (once),,
oszałamiać,to stun/bewilder (repeated),,
oszczędność,thriftiness,,
oszczędzać,to save/economize (repeated),,
oszczędzić,to save/economize (once),,
oszołomić,to stun/bewilder (once),,
oszukać,to cheat (once),,
oszukiwać,to cheat (repeated),,
oszust,swindler/conman,,
oszustwo,fraud/deception,,
osądzić,to think/suppose (once),,
osłabiać,to weaken (repeated),,
osłabić,to weaken (once),,
osłodzić,to sweeten (once),,
osłona,cover/shield,,
otaczać,to surround (repeated),,
oto,here is/are,,
otoczenie,surroundings,,
otoczyć,to surround (once),,
otruć kogoś czymś,to poison somebody with something (once),,
otrzymać,to receive/obtain (once),,
otrzymywać,to receive/obtain (repeated),,
otucha,comfort/encouragement/uplift,,
otulać,to wrap (repeated),,
otulić,to wrap (once),,
otwór,hole,,
otynkować,to plaster (once),,
otyły,obese,,
otępiały,spaced-out,,
owad,insect,,
owdowieć,to be widowed,,
owijać,to wrap around (repeated),,
owinąć,to wrap around (once),,
owszem,indeed,,
ozdabiać,to decorate (repeated),,
ozdoba,decoration/ornament,,
ozdobić,to decorate (once),,
oznajmiać,to announce I (repeated),,
oznajmić,to announce I (once),,
oznaka,symptom/sign/indicator,,
oznakować,to mark (once),,
ozłacać,to gild/engolden (repeated),,
ozłocić,to gild/engolden (once),,
ołów,lead,,
oścież,wide open,,
oślizły,slimy/slippery,,
ośmielać,to encourage (repeated),,
ośmielić,to encourage (once),,
ośmieszać,to ridicule (repeated),,
ośmieszyć,to ridicule (once),,
ośmiornica,octopus,,
ośnieżony,snow-covered/snow-capped,,
ośrodek,centre,,
oświadczać się komuś,to propose to somebody (repeated),,
oświadczyny,proposal,,
oświadczyć się komuś,to propose to somebody (once),,
oświetlenie,illumination/lighting,,
ożenić,to get married (to a woman) (once),,
ożywać,to revive (repeated),,
ożywiać,to revive/enliven (repeated),,
ożywienie,animation,,
ożywiony,animated/heated,,
ożywić,to revive/enliven (once),,
ożyć,to revive (once),,
pacha,armpit,,
pachnący,fragrant,,
paciorek,bead,,
paczka,package/parcel,,
pagórek,hill II,,
pajac,puppet,,
pajęczyna,cobweb,,
pakunek,parcel,,
palenisko,hearth,,
paliwo,fuel,,
pamięć,memory,,
pancerz,armour/carapace,,
panować,to reign/control (repeated),,
pantofel,slipper,,
paplać,to babble/chatter I,,
parkiet,parquet or dance floor,,
parowiec,steamer,,
parowóz,steam engine,,
partactwo,botch job,,
parter,ground floor,,
parów,ravine/gully,,
pas,belt,,
pasażer,passenger,,
pasiasty,striped I,,
paskudny,horrid/nasty,,
paskudztwo,eyesore/abomination,,
pastwisko,pasture,,
pasujący,matching,,
paszcza,muzzle,,
patelnia,(frying) pan,,
patetyczny,pompous,,
patroszyć,to gut (repeated),,
paznokieć,nail,,
pałka,truncheon/baton,,
państwowy,state/civil/public/national,,
październik,October,,
pechowiec,loser,,
pejzaż,landscape,,
pergamin,parchment,,
peruka,wig,,
pestka,pip,,
pewność siebie,self-confidence,,
pewny,sure,,
pełnić,to fulfil/perform,,
pełzać,to slither (repeated),,
pełznąć,to slither (once),,
piaskownica,sandpit,,
piaszczysty,sandy,,
picie,drinking,,
pieczarka,(a kind of) mushroom,,
pieczeń,roast,,
pieg,freckle,,
piegowaty,freckled,,
piekarnik,oven,,
piekło,hell,,
pielęgniarka,nurse (female),,
pielęgniarz,nurse (male),,
pielęgnować,to nurse or cultivate,,
pieniądze,money,,
pienić się,to froth/foam,,
pieniężny,monetary,,
pierwotny,primitive,,
pierwszeństwo,priority/precedence,,
pierzesz (prać),You are laundering,,
pierś,chest/breast,,
pierścionek,ring,,
pieszo,on foot,,
pień,tree trunk or stump,,
pigułka,pill,,
pilnować,"to mind, to tend to, to watch over, to look after",,
pilny,diligent/conscientious,,
piorę (prać),I am laundering,,
pisemny,written,,
pisnąć,to squeal/squeak (once),,
pistolet,pistol,,
piszczeć,to squeal/squeak (repeated),,
piwnica,cellar,,
pięć milionów,five million,,
pięć tysięcy,five thousand,,
pięść,fist,,
piła,saw,,
piłkarz,football player,,
piżmo,musk,,
placówka,(out)post or institution,,
plajtować,to go bust (repeated),,
plakat,poster,,
plama,spot/stain,,
plamić,to stain/soil (repeated),,
plecy,back,,
plemię,tribe,,
plotkować,to gossip,,
plądrować,to plunder/pillage (repeated),,
plątanina,tangle,,
pnącze,climber/creeper/vine,,
po kryjomu,in secret,,
pobicie,beating,,
pobierać,to download (repeated),,
pobierać się,to get married (repeated),,
pobliski,nearby,,
pobocze,verge/shoulder,,
pobrać,to download (once),,
pobrać się,to get married (once),,
pobyt,stay,,
pochlipywać,to snivel,,
pochodnia,torch,,
pochwalać coś,to approve of something,,
pochwalić się,to boast (once),,
pochwała,praise/commendation,,
pochód,procession,,
pochłaniać,to absorb (repeated),,
pochłonąć,to absorb (once),,
pociecha,comfort/consolation/solace/offspring,,
pocierać,to rub (repeated),,
pocisk,missile/projectile,,
pocić się,to sweat/perspire,,
poczekalnia,waiting room,,
pocztówka,postcard,,
poczucie,feeling/sense,,
początek,beginning,,
początkowo,initially,,
poczęstować,to offer (once),,
poczęstunek,food and drinks,,
podanie,application/request,,
podarować,to gift (once),,
podarty,torn/tattered/ripped,,
podatek,tax,,
podbijać,to conquer/subdue (repeated),,
podbić,to conquer/subdue (once),,
podbrzusze,underbelly,,
podchodzić,to approach (repeated),,
podcinać,to slash (repeated),,
podciąć,to slash (once),,
poddawać się,to give up/in (repeated),,
poddać się,to give up/in (once),,
podejrzany,suspicious,,
podejrzenie,suspicion,,
podejrzewać,to suspect,,
podejść,to approach (once),,
podeptać,to tread/trample (once),,
poderżnąć komuś gardło,to slit someone's throat (once),,
podeszwa,sole,,
podetniesz (podciąć),You will slash,,
podetnę (podciąć),I will slash,,
podgrzać,to (re)heat (once),,
podgrzejesz (podgrzać),You will (re)heat,,
podgrzeję (podgrzać),I will (re)heat,,
podgrzewać,to (re)heat (repeated),,
podjęcie,undertaking,,
podkowa,horseshoe,,
podkreślać,to underline (repeated),,
podkreślić,to underline (once),,
podniebienie,palate,,
podniecenie,excitement/arousal,,
podniesiesz (podnieść),You will pick up,,
podnieś (podnieść),Pick up! (once),,
podnieść,to pick up (once),,
podniosę (podnieść),I will pick up,,
podnosisz (podnosić),You are picking up,,
podnosić,to pick up (repeated),,
podnoszę (podnosić),I am picking up,,
podnoś (podnosić),Pick up! (repeated),,
podnóże,foot/base,,
podobieństwo,similarity,,
podobno,reportedly/supposedly/apparently,,
podobny,similar,,
podpalać,to set fire to (repeated),,
podpalić,to set fire to (once),,
podporządkować się komuś,to submit to somebody (once),,
podporządkowywać się komuś,to submit to somebody (repeated),,
podrażniać,to physically irritate (repeated),,
podrażnić,to physically irritate (once),,
podreptać,to toddle (once),,
podrzynać komuś gardło,to slit someone's throat (repeated),,
podrzędny,second-rate,,
podróżnik,traveller,,
podróżowanie,travelling,,
podręcznik,textbook,,
podstawa,base/basis/ground,,
podstawowy,basic,,
podstęp,trick/ruse,,
podsumowanie,summing-up/summary,,
podszywać się pod kogoś,to impersonate somebody (repeated),,
podszyć się pod kogoś,to impersonate somebody (once),,
podupadać,to deteriorate (repeated),,
podupaść,to deteriorate (once),,
podwieczorek,(afternoon) tea,,
podwyżka,pay rise,,
podwójny,double,,
podwórko,little backyard,,
podwórze,backyard,,
podziać się,to be mislaid,,
podział,division,,
podzielić się,to share/divide (once),,
podziemie,basement/underground,,
podziemny,underground,,
podziw,admiration,,
podziwiać,to admire,,
podążać,to follow (repeated),,
podążyć,to follow (once),,
podżegać,to incite,,
poezja,poetry,,
pofrunąć,to fly (as an animal) (once),,
pogarda,contempt/scorn,,
pogarszać,to worsen (repeated),,
pogawędzić,to chat (once),,
pogięty,twisted (out of shape),,
pogląd,opinion/view/outlook,,
pognać,to rush (once),,
pogodny,sunny/cheerful,,
pogorszyć,to worsen (once),,
pogotowie,emergency service or ambulance,,
pogoń,chase/pursuit,,
pogromca,conqueror (male),,
pogromczyni,conqueror (female),,
pogrzeb,funeral,,
pogrzebacz,poker,,
pogrzebać,to bury II (once),,
pogrążać się w czymś,to be immersed in something (repeated),,
pogrążyć się w czymś,to be immersed in something (once),,
pogłaskać,to stroke (once),,
pogłębiać,to deepen (repeated),,
pogłębić,to deepen (once),,
pohasać,to gambol (once),,
poinstruować,to instruct (once),,
pojawiać się,"to appear, to show up (repeated)",,
pojawić się,"to appear, to show up (once)",,
pojednawczy,conciliatory,,
pojedynczy,singular,,
pojemnik,container,,
pojemność,capacity,,
pojmować,to comprehend (repeated),,
pojąć,to comprehend (once),,
pojęcie,concept/idea/notion,,
pokazać,to show (once),,
pokazujesz (pokazywać),You are showing,,
pokazuję (pokazywać),I am showing,,
pokazywać,to show (repeated),,
pokaźny,substantial/considerable,,
pokażesz (pokazać),You will show,,
pokażę (pokazać),I will show,,
pokojówka,maid,,
pokolenie,generation,,
pokonanie,defeat,,
pokonać,to defeat/beat (once),,
pokonywać,to defeat/beat (repeated),,
pokrewny,related/kindred,,
pokrowiec,case/cover,,
pokrywka,cover I,,
pokrzepiać,to fortify/strengthen/refresh (repeated),,
pokrzepić,to fortify/strengthen/refresh (once),,
pokuta,penance,,
pokuśtykać,to limp/hobble (once),,
pokój,room/peace,,
pokąsać,to bite/sting (once),,
pokład,deck,,
pokłonić,to bow (once),,
pokłusować,to trot/amble (once),,
pokłócić się,to argue (once),,
polana,glade,,
polać,to pour (once),,
polecać,to recommend (repeated),,
polecieć,to fly (once),,
polecić,to recommend (once),,
polecony,registered,,
polegać,to rely (on),,
polej (polać),Pour! (once),,
polejesz (polać),You will pour,,
poleję (polać),I will pour,,
polewać,to pour (repeated),,
policzyć,to count (once),,
politura,polish,,
polować,to hunt (repeated),,
pomagaj (pomagać),Help! (repeated),,
pomagam (pomagać),I am helping,,
pomaganie,helping,,
pomagasz (pomagać),You are helping,,
pomagać,to help (repeated),,
pomarszczony,wrinkled/shrivelled,,
pomieszczenie,room,,
pomijać,to skip/omit (repeated),,
pomimo,despite,,
pominąć,to skip/omit (once),,
pomnik,monument,,
pomnożyć,to multiply (once),,
pomocnica,helper (female),,
pomocnik,helper (male),,
pomogę (pomóc),I will help,,
pomożesz (pomóc),You will help,,
pomruk,murmur/rumble,,
pomylić się,to make mistakes (once),,
pomysłowość,ingenuity/resourcefulness,,
pomyłka,error/mistake,,
pomyślany,conceived,,
pomyślny,successful/auspicious,,
pomóc,to help (once),,
pomóż (pomóc),Help! (once),,
ponadto,furthermore,,
ponawiać,to repeat/recur (repeated),,
ponieważ,so/therefore,,
poniewierać,to mistreat/mishandle,,
ponieść,to incur (once),,
poniżający,humiliating,,
poniżenie,humiliation,,
poniższy,following/below,,
ponosić,to incur (repeated),,
ponowić,to repeat/recur (once),,
ponownie,again,,
ponoć,seemingly/supposedly,,
ponury,gloomy/grim/dreary,,
ponętny,alluring,,
popas,bait I,,
popchnąć,to push (once),,
popełniać,to commit (e.g. a crime) (repeated),,
popełnić,to commit (e.g. a crime) (once),,
popielniczka,ashtray,,
popierać,"to back up, to second (repeated)",,
popisać się,to show off (once),,
popisywać się,to show off (repeated),,
popiół,ash,,
poplamiony,stained/soiled,,
poplamić,to stain/soil (once),,
poprawiać,to correct (repeated),,
poprawić,to correct (once),,
poprawka,correction,,
poprawnie,correctly/properly,,
poprzedni,previous,,
poprzeć,"to back up, to second (once)",,
