polish,english,other,type
nadgarstek,wrist,Nie ma nadgarstka,m noun
nadmiar,excess,Nie ma nadmiaru,m noun
nadmierny,excessive,,adjective
nadmiesz (nadąć),You will inflate/bloat,,conjugation
nadmę (nadąć),I will inflate/bloat,,conjugation
nadużyjesz czegoś (nadużyć czegoś),You will abuse something,,conjugation
nadużyję czegoś (nadużyć czegoś),I will abuse something,,conjugation
nadużywam czegoś (nadużywać czegoś),I am abusing something,,conjugation
nadużywasz czegoś (nadużywać czegoś),You are abusing something,,conjugation
nadużywać czegoś,to abuse something (repeated),,verb
nadużyć czegoś,to abuse something (once),,perf verb
nadwaga,overweight,,f noun
nadymać,to inflate/bloat (repeated),,verb
nadziać,to impale (once),,perf verb
nadziejesz (nadziać),You will impale,,conjugation
nadzieję (nadziać),I will impale,,conjugation
nadziewać,to impale (repeated),,verb
nadzorować,to supervise/oversee,,verb
nadzwyczaj,unusually,,adverb
nadąsany,sulky,,adjective
nadąć,to inflate/bloat (once),,perf verb
nago,naked,,adverb
nagość,nudity,,f noun
nagradzać,to reward (repeated),,verb
nagranie,recording,,n noun
nagroda,prize,,f noun
nagrodzić,to reward (once),,perf verb
nagrodzony,award-winning,,adjective
nakazać,to command/order II (once),,perf verb
nakazywać,to command/order II (repeated),,verb
nakleić,to stick (on) (once),,perf verb
naklejać,to stick (on) (repeated),,verb
nakrapiany,speckled,,adjective
nakrywać się czymś,to cover oneself with something (repeated),,verb
nakryć się czymś,to cover oneself with something (once),,perf verb
nakładać,to apply (repeated),,verb
nalać,to pour into (once),,perf verb
nalewać,to pour into (repeated),,verb
należ (należeć),Belong! (repeated),,imperative
należeć,to belong,Nie należę do nikogo,verb
należysz (należeć),You belong,,conjugation
należyty,appropriate/proper/due,,adjective
należę (należeć),I belong,,conjugation
namawiać kogoś do czegoś,to persuade somebody to (do) something (repeated),,verb
namiętność,passion,,f noun
namiętny,passionate,,adjective
namowa,suggestion/instigation,,f noun
namydlać,to soap (repeated),,verb
namydlić,to soap (once),,perf verb
namówić kogoś do czegoś,to persuade somebody to (do) something (once),,perf verb
naostrzyć,to sharpen (once),,perf verb
napad na kogoś/coś,assault on somebody/something,Nie ma napadu,m noun
napadać na kogoś/coś,to assault somebody/something (repeated),,verb
napastnik,assailant/attacker,,m noun
napaść na kogoś/coś,to assault somebody/something (once),,verb
napełniaj (napełniać),Fill! (repeated),,imperative
napełniam (napełniać),I am filling,,conjugation
napełniasz (napełniać),You are filling,,conjugation
napełniać,to fill (e.g. with liquid) (repeated),,verb
napełnij (napełnić),Fill! (once),,imperative
napełnisz (napełnić),You will fill,,conjugation
napełnić,to fill (e.g. with liquid) (once),,perf verb
napełnię (napełnić),I will fill,,conjugation
napięcie,tension,,n noun
napotkać,to encounter (once),,perf verb
napotykać,to encounter (repeated),,verb
naprawa,repair,,f noun
naprzód,forward/ahead,,adverb
napęcznieć,to swell (once),,perf verb
napędzaj (napędzać),Drive/propel! (repeated),,imperative
napędzam (napędzać),I am driving/propelling,,conjugation
napędzasz (napędzać),You are driving/propelling,,conjugation
napędzać,to drive/propel (repeated),,verb
napędzisz (napędzić),You will drive/propel,,conjugation
napędzić,to drive/propel (once),,perf verb
napędzę (napędzić),I will drive/propel,,conjugation
napędź (napędzić),Drive/propel! (once),,imperative
narada,meeting/conference,,f noun
naradzać się,to confer (repeated),,verb
naradzić się,to confer (once),,perf verb
narazić,to endanger/jeopardize (once),,perf verb
narażać,to endanger/jeopardize (repeated),,verb
narażony,vulnerable/exposed/endangered,,adjective
narkoza,anaesthesia,,f noun
narodowy,national,,adjective
narożny,angular/corner,,adjective
naruszenie,infringement/violation,,n noun
narzeczona,fiancée (female),,f noun
narzeczony,fiancé (male),,m noun
narzędnik (z kim? z czym?),instrumental case,,m noun
narzędzie,device/tool/instrument,,n noun
naród,nation,,m noun
nasilać się,to increase/intensify (repeated),,verb
nasilić się,to increase/intensify (once),,perf verb
nasiąkać,to soak up (repeated),,verb
nasiąknąć,to soak up (once),,perf verb
nastawiać,to set (repeated),,verb
nastawiony,orientated,,adjective
nastawić,to set (once),,perf verb
nastolatek,teenager,,m noun
nastrojowy,moody/atmospheric,,adjective
nastroszyć,to ruffle (once),,perf verb
nastrój,mood I,Nie ma nastroju,m noun
nastąpić,to follow/proceed (once),,perf verb
następować,to follow/proceed (repeated),,verb
następujący,following/succeeding,,adjective
nasycenie,saturation,,n noun
nasyp,embankment II,Nie ma nasypu,m noun
naszyjnik,necklace,,m noun
natknąć się na kogoś/coś,to come across somebody/something I (once),,perf verb
natomiast,whereas,"Nie lubię go, natomiast lubię jego żoną",adverb
natrafiać na kogoś/coś,to come across somebody/something II (repeated),,verb
natrafić na kogoś/coś,to come across somebody/something II (once),,perf verb
natykać się na kogoś/coś,to come across somebody/something I (repeated),,verb
nauczanie,teaching,,n noun
nauczka,lesson,,f noun
nauczyć się,to learn (once),,perf verb
nauka,science,,f noun
nawa,aisle,,f noun
nawałnica,tempest/squall/storm/blizzard,,f noun
nawias,bracket,Nie ma nawiasu,m noun
nawiedzać,to haunt (repeated),,verb
nawiedzić,to haunt (once),,perf verb
nawyk,habit/practice/custom,Nie ma nawyku,m noun
nawóz,fertilizer/manure,Nie ma nawozu,m noun
nazbierać,to pick/collect/gather,,verb
nazbyt,too/excessive,On nie jest nazbyt bystry,adverb
nazista,nazi,,m noun
nazistowski,nazi,,adjective
naziści,nazis,,m plural noun
nazwać,to name (once),,perf verb
nazwiesz (nazwać),You will name,,conjugation
nazwę (nazwać),I will name,,conjugation
nazywać,to name (repeated),,verb
nałożyć,to apply (once),,perf verb
nałóg,bad habit,Nie ma nałogu,m noun
naśladować,to imitate II,,verb
naśmiewać się z kogoś/czegoś,to laugh at somebody/something,,verb
negocjować,to negotiate (repeated),,verb
niczyj,nobody's/no-one's,,adjective
nie kłóć się (kłócić się),Don't argue! (repeated),,imperative
nie smuć się (smucić się),Don't be saddened! (repeated),,imperative
niebawem,presently/soon,,adverb
niebezpieczny,dangerous,,adjective
niebiosa,heaven,,f plural noun
nieborak,poor thing,,m noun
nieboszczyk,the deceased I,,m noun
niebywały,exceptional,,adjective
niechciany,unwanted,,adjective
nieco,somewhat,,adverb
niedawny,recent,Od niedawna (Until recently),adjective
niedbałość,negligence,,f noun
niedbały,negligent/careless,,adjective
niedopuszczalny,unacceptable,,adjective
niedorzeczny,absurd/preposterous,,adjective
niedostatek,deficiency/scarcity,Nie ma niedostatku,m noun
niedowaga,underweight,,f noun
niedoświadczony,inexperienced,,adjective
niegdyś,formerly,,adverb
niekończący się,never-ending,,adjective
nieletni,juvenille,,m noun
niemal,almost/nearly,Jestem niemal pewny,adverb
niemy,mute/dumb/speechless,Niemy z rozpaczy,adjective
nienaganny,impeccable/irreproachable,,adjective
nienaruszony,intact,,adjective
nienawiść,hatred,,f noun
nieoczekiwany,unexpected,,adjective
nieodpłatny,free of charge II,,adjective
nieokreślony,indefinite/indeterminate,,adjective
niepamięć,oblivion,,f noun
niepełnosprawny,disabled,,adjective
niepodatny,impervious/insusceptible,,adjective
niepodległość,political/national independence,,f noun
niepokoić,to worry (repeated),,verb
niepokojący,worrying/disturbing,,adjective
niepokój,anxiety/concern,Nie ma pokoju,m noun
nieporadny,incompetent/helpless,,adjective
nieporozumienie,misunderstanding,,n noun
niepostrzeżony,unnoticed,,adjective
niepotwierdzony,unconfirmed,,adjective
niepowodzenie,fiasco/failure,,n noun
niepowtarzalność,uniqueness,,f noun
niepozorny,inconspicuous,,adjective
nieproszony,uninvited,,adjective
nieprzebyty,impassable,,adjective
nieprzerwany,uninterrupted,,adjective
nieprzypadkowo,"intentionally, not accidentally",,adverb
nieprzystosowany,ill-suited/ill-fitted,,adjective
nieprzytomny,unconscious,,adjective
nieraz,many a time,,adverb
nieruchomy,"still, not moving",,adjective
nierzetelny,unreliable/shoddy,,adjective
niespełna,nearly,,adverb
niespełniony,unfulfilled,,adjective
niespodzianka,surprise,,f noun
niespodziewany,unexpected/unforeseen,,adjective
niespotykany,unprecedented,,adjective
niespożyty,inexhaustible,,adjective
niesprawiedliwy,unfair/unjust,,adjective
nieswojo,uneasy/uncomfortable,,adverb
nieszczęsny,wretched/luckless,,adjective
niesłabnący,unfaltering/unfailing,,adjective
niesława,infamy,,f noun
niesłuszny,unfair/wrong,,adjective
niesłychany,unheard of,,adjective
nietknięty,untouched/unharmed/intact,,adjective
nieubłagany,inexorable/unrelenting,,adjective
nieuczciwy,dishonest,,adjective
nieudawany,unfeigned,,adjective
nieudolnie,clumsily,,adverb
nieuleczalny,incurable,,adjective
nieunikniony,unavoidable,,adjective
nieustannie,continuously/continually,,adverb
nieuzasadniony,unfounded,,adjective
niewiadomy,unknown,,adjective
niewiarygodny,unbelievable/incredible,,adjective
niewierność,infidelity,,f noun
niewinność,innocence,,f noun
niewola,captivity,,f noun
niewolnica,slave (female),,f noun
niewolnik,slave (male),,m noun
niewątpliwy,undoubted,,adjective
niezachwiany,unwavering/unshakable,,adjective
niezależność,independence,,f noun
niezależny,independent I,,adjective
niezaprzeczalny,undeniable/indisputable,,adjective
niezbadany,unexplored,,adjective
niezbędny,indispensable/necessary/essential,,adjective
niezgodność,incompatibility,,f noun
nieznaczny,insignificant/slight,,adjective
nieznajomy,stranger,,m noun
nieznośny,unbearable,,adjective
niezrozumiały,incomprehensible/unintelligible,,adjective
niezrównany,unrivalled,,adjective
niezręczny,clumsy/awkward,,adjective
niezwykły,unusual,,adjective
niezwłoczny,immediate/prompt,,adjective
nieśmiały,shy,,adjective
nieśmiertelność,immortality,,f noun
nijaki,nondescript/neuter,,adjective
niszczyć,to devastate/destroy (repeated),,verb
niższość,inferiority,,f noun
niższy,lower,,adjective
nocleg,overright accommodation,Nie ma noclegu,m noun
nocować,to spend/stay the night (repeated),,verb
nora,burrow/den/hole,,f noun
nosidełko,child carrier (sling),,n noun
notoryczny,notorious,,adjective
notować,to note (repeated),,verb
nowatorski,innovative,,adjective
nowinka,gossip,,f noun
nowo,newly,,adverb
noworodek,newborn (baby),,m noun
nowotwór,tumour,Nie ma nowotworu,m noun
nowożeńcy,newly-weds,,m plural noun
nurkować,to dive (repeated),,verb
nurt,current (of water),Nie ma nurtu,m noun
nuta,note/tone,,f noun
nużyć,to tire/weary (repeated),,verb
nękać kogoś czymś,to plague somebody with something,,verb
oba,"both (m, n)","Oba samochody, oba drzewa",numeral
obaj mężczyźni,both men,,numeral
obawa,anxiety/fear,,f noun
obawiać się,to be afraid/concerned,"Obawiam się, że ...",verb
obcas,heel,,m noun
obcinać,to clip/trim (repeated),,verb
obciąć,to clip/trim (once),,perf verb
obciążać,to burden/load (repeated),,verb
obciążenie,burden/load,,n noun
obciążyć,to burden/load (once),,perf verb
obcokrajowiec,foreigner,Nie ma obcokrajowca,m noun
obcy,foreign/strange,Szkoła języków obcych,adjective
obdarzać,to bestow (repeated),,verb
obdarzyć,to bestow (once),,perf verb
obdukcja,autospy,,f noun
obecnie,currently/presently,,adverb
obecność,presence,Martwi mnie obecność policji (I worry about the presence of the police),f noun
obecny,current/present,,adjective
obejmować,to embrace/include/encompass (repeated),,verb
obejrzeć,to watch/look at (once),,perf verb
obelga,insult/abuse,,f noun
obetniesz (obciąć),You will clip/trim,,conjugation
obetnę (obciąć),I will clip/trim,,conjugation
obeznany z czymś,knowledgeable about something,,adjective
obezwładniać,to overpower (repeated),,verb
obezwładnić,to overpower (once),,perf verb
obfity,abundant,,adjective
obie,both (f),Obie książki,numeral
obie kobiety,both women,,numeral
obiecaj (obiecać),Promise! (once),,imperative
obiecam (obiecać),I will promise,,conjugation
obiecasz (obiecać),You will promise,,conjugation
obiecać,to promise I (once),,perf verb
obiecuj (obiecywać),Promise! (repeated),,imperative
obiecujesz (obiecywać),You promise,,conjugation
obiecuję (obiecywać),I promise,,conjugation
obiecywać,to promise I (repeated),,verb
obiektyw,lens I,Nie ma obiektywu,m noun
obierać,to peel/shell/skin (repeated),,verb
obietnica,(a) promise,,f noun
obieżyświat,globetrotter,,m noun
objadać się czymś,to gorge oneself with something (repeated),,verb
objaw,symptom,Nie objawu,m noun
objawiać,to manifest (repeated),,verb
objawić,to manifest (once),,perf verb
objaśniać,to clarify (repeated),,verb
objaśnić,to clarify (once),,perf verb
objeść się czymś,to gorge oneself with something (once),,perf verb
objąć,to embrace/include/encompass (once),,perf verb
obleśny,lecherous/revolting,,adjective
obliczać,to calculate/compute/estimate (repeated),,verb
oblicze,face,,n noun
obliczyć,to calculate/compute/estimate (once),,perf verb
obluzować,to loosen (once),,perf verb
obluzowywać,to loosen (repeated),,verb
obniżać,to lower (repeated),,verb
obniżyć,to lower (once),,perf verb
oboje,both (man and woman),Oboje pracują w szkole ((They) both work in a school),pronoun
obojętny,indifferent/irrelevant,,adjective
obowiązek,duty/obligation,,m noun
obowiązkowy,compulsory/obligatory/conscientious,,adjective
obozować,to camp,,verb
obozowisko,campsite,,n noun
obracać się,to pivot/revolve (repeated),,verb
obraz,image/picture/painting,,m noun
obrazić,to offend/insult (once),,perf verb
obrać,to peel/shell/skin (once),,perf verb
obrażać,to offend/insult (repeated),,verb
obrażony,offended,,adjective
obrona,defense,,f noun
obronić,to defend (once),,perf verb
obrońca,defender,,m noun
obrus,tablecloth,Nie ma obrusa,m noun
obrzeże,edge I,,n noun
obrzucać,to heap/hurl (repeated),,verb
obrzucić,to heap/hurl (once),,perf verb
obrzydliwy,disgusting/sickening,,adjective
obrócić się,to pivot/revolve (once),,perf verb
obsada,crew/staff/cast,,f noun
obskurny,dingy/shabby,,adjective
obszar,area/territory,,m noun
obszerny,spacious/loose/lengthy,,adjective
obsługiwać,to serve or to operate (repeated),,verb
obsłużyć,to serve or to operate (once),,perf verb
oburzający,outrageous,,adjective
oburzony,indignant/outraged,,adjective
obuwie,footwear,,n noun
obuwniczy,footwear,,adjective
obwiniać kogoś o coś,to accuse/blame someone of/for something (repeated),,verb
obwinić kogoś o coś,to accuse/blame someone of/for something (once),,perf verb
obwisły,sagging/drooping,,adjective
obwódka,border II,,f noun
obwąchać,to sniff around (once),,perf verb
obwąchiwać,to sniff around (repeated),,verb
obyczaj,habit/custom,Nie ma obyczaju,m noun
obywatel,citizen,,m noun
obóz,camp,Nie ma obozu,m noun
obłok,cloud,Nie ma obłoku,m noun
obłąkany,crazy/mad,,adjective
ocalać,to rescue/save II (repeated),,verb
ocaleć,to survive II,,verb
ocalić,to rescue/save II (once),,perf verb
ocena,grade/mark,Jaka jest twoja ocena? (What is your grade?),f noun
oceniać,to appraise (repeated),,verb
ocenić,to appraise (once),,perf verb
ocenzurować,to censor (once),,perf verb
ocet,vinegar,,m noun
ochrona,protection/security,,f noun
ochrypły,hoarse II,,adjective
ochłap,offal,Nie ma ochłapu,m noun
ochłodzić,to cool (once),,perf verb
oczekiwanie,anticipation,,n noun
oczekiwać,to anticipate,,verb
oczekuj (oczekiwać),Anticipate!,,imperative
oczekujesz (oczekiwać),You are anticipating,,conjugation
oczekuję (oczekiwać),I am anticipating,,conjugation
oczyszczać,to purify (repeated),,verb
oczyścić,to purify (once),,perf verb
od nowa,from scratch,Zaczynać od nowa,phrase
odbicie,reflection,,n noun
odbierać,to take back (repeated),,verb
odbiorca,recipient,,m noun
odbiór,receipt,Nie ma odbioru,m noun
odblask,reflection/glare/glow,Nie ma odblasku,m noun
odblaskowy,reflective,,adjective
odburkiwać,to mutter in reply (repeated),,verb
odburknąć,to mutter in reply (once),,perf verb
odbywa się (odbywać się),it is taking place,,conjugation
odbywają się (odbywać się),they are taking place,,conjugation
odbywać się,to take place (repeated),,verb
odbyć się,to take place (once),,perf verb
odbędzie się (odbyć się),it will take place,,conjugation
odbędą się (odbyć się),they will take place,,conjugation
odcedzać,to strain or drain off (repeated),,verb
odcedzić,to strain or drain off (once),,perf verb
odchodzić,to go away (repeated),,verb
odcień,shade,,m noun
odcinek,section/episode/segment,Nie ma odcinka,m noun
odcisk,imprint,Nie ma odcisku,m noun
odcięty,cut off from,,adjective
odczepiać,to detach/uncouple (repeated),,verb
odczepić,to detach/uncouple (once),,perf verb
oddadzą (oddać),They will give back,,conjugation
oddaj (oddać),Give back! (once),,imperative
oddajesz (oddawać),You are giving back,,conjugation
oddaję (oddawać),I am giving back,,conjugation
oddalać,to move away (repeated),,verb
oddalenie,remoteness,,n noun
oddalić,to move away (once),,perf verb
oddam (oddać),I will give back,,conjugation
oddany,devoted,,adjective
oddawaj (oddawać),Give back! (repeated),,imperative
oddawać,"to give back, to return (repeated)",,verb
oddać,"to give back, to return (once)",,perf verb
oddychać,to breathe (repeated),,verb
oddział,troop/squad,Nie ma oddziału,m noun
oddzielnie,separately/apart II,,adverb
odebrać,to take back (once),,perf verb
odejdziesz (odejść),You will go away,,conjugation
odejdę (odejść),I will go away,,conjugation
odejmiesz (odjąć),You will subtract,,conjugation
odejmować,to subtract (repeated),,verb
odejmę (odjąć),I will subtract,,conjugation
odejść,to go away (once),,perf verb
odeprzeć,to rebuff (once),,perf verb
oderwać,to tear away (once),,perf verb
oderwiesz (oderwać),You will tear away,,conjugation
oderwę (oderwać),I will tear away,,conjugation
odesłać,to send back (once),,perf verb
odetchnąć,to breathe (once),,perf verb
odezwać,to speak (once),,perf verb
odezwiesz (odezwać),You will speak,,conjugation
odezwę (odezwać),I will speak,,conjugation
odgadnąć,to solve II (once),,perf verb
odgadywać,to solve II (repeated),,verb
odgłos,sound/noise,Nie ma odgłosu,m noun
odizolować,to isolate (once),,perf verb
odjechać,to leave/depart (by vehicle) (once),,perf verb
odjeżdżać,to leave/depart (by vehicle) (repeated),,verb
odjąć,to subtract (once),,perf verb
odkrycie,discovery,,n noun
odkrywać,to discover (repeated),,verb
odkryć,to discover (once),,perf verb
odkręcaj (odkręcać),Unscrew/loosen! (repeated),,imperative
odkręcam (odkręcać),I am unscrewing/loosening,,conjugation
odkręcasz (odkręcać),You are unscrewing/loosening,,conjugation
odkręcać,to unscrew/loosen (repeated),,verb
odkręcisz (odkręcić),You will unscrew/loosen,,conjugation
odkręcić,to unscrew/loosen (once),,perf verb
odkręcę (odkręcić),I will unscrew/loosen,,conjugation
odkręć (odkręcić),Unscrew/loosen! (once),,imperative
odkurzacz,vacuum cleaner,,m noun
odkurzać,to vacuum (repeated),,verb
odkurzyć,to vacuum (once),,perf verb
odkąd,ever since,,adverb
odkładać,to put back (repeated),,verb
odległość,distance I,,f noun
odległy,distant/remote,,adjective
odludek,recluse/hermit,Nie odludka,m noun
odmawiać,to refuse/deny (repeated),,verb
odmieniać,to conjugate/decline (repeated),,verb
odmienić,to conjugate/decline (once),,perf verb
odmówić,to refuse/deny (once),,perf verb
odmładzać,to rejuvenate (repeated),,verb
odmłodzić,to rejuvenate (once),,perf verb
odnajdować,to find again (repeated),,verb
odnaleźć,to find again (once),,perf verb
odnawiać,to renew/restore (repeated),,verb
odnowisz (odnowić),You will renew/restore,,conjugation
odnowić,to renew/restore (once),,perf verb
odnowię (odnowić),I will renew/restore,,conjugation
odosobnienie,isolation/seclusion,,n noun
odpady,waste,,f plural noun
odpierać,to rebuff (repeated),,verb
odpoczynek,rest,,m noun
odpoczywać,to rest (repeated),,verb
odpocząć,to rest (once),,perf verb
odporny,resistent,,adjective
odpowiadać,to answer (repeated),,verb
odpowiedni,correct/appropriate,,adjective
odpowiednik,equivalent,,m noun
odpowiedzialność,responsibility,,f noun
odpowiedzialny,responsible,,adjective
odpowiedzieć,to answer (once),,perf verb
odpowietrznik,air vent,,m noun
odprawa,briefing,,f noun
odprężać,to relax (repeated),,verb
odprężyć,to relax (once),,perf verb
odpędzać,to drive away/off (repeated),,verb
odpędzić,to drive away/off (once),,perf verb
odpływ,low tide,Nie ma odpływu,m noun
odreagować,to shake off (once),,perf verb
odreagowywać,to shake off (repeated),,verb
odrobina,a bit of,,f noun
odruch,reflex,Nie ma odruchu,m noun
odrywać,to tear away (repeated),,verb
odrzucenie,rejection/dismissal,,n noun
odróżniać,to distinguish (repeated),,verb
odróżnisz (odróżnić),You will distinguish,,conjugation
odróżnić,to distinguish (once),,perf verb
odróżnię (odróżnić),I will distinguish,,conjugation
odrębny,separate/distinct,,adjective
odrętwienie,numbness,,n noun
odsetek,percentage,Nie ma odsetka,m noun
odstawiać,to put aside/away (repeated),,verb
odstawienie,withdrawal,,n noun
odstawić,to put aside/away (once),,perf verb
odstęp,interval/space/clearance/distance,Nie ma odstępu,m noun
odsunąć się,to back off/away (once),,perf verb
odsuwać się,to back off/away (repeated),,verb
odsyłać,to send back (repeated),,verb
odsłaniać,to reveal/unveil (repeated),,verb
odsłonić,to reveal/unveil (once),,perf verb
odtruć,to detoxify,,verb
odtąd,from now on,,adverb
odurzać,to become intoxicated (repeated),,verb
odurzyć,to become intoxicated (once),,perf verb
odwaga,courage,,f noun
odważać się,to dare I (repeated),,verb
odważny,brave/courageous,,adjective
odważyć się,to dare I (once),,perf verb
odwdzięczać się,to repay (repeated),,verb
odwdzięczyć się,to repay (once),,perf verb
odwet,retaliation/revenge,Nie ma odwetu,m noun
odwieczny,perrenial,,adjective
odwiedzać,to visit (repeated),,verb
odwiedzić,to visit (once),,perf verb
odwieziesz (odwieźć),You will give a lift back,,conjugation
odwieźć,to give a lift back (once),,perf verb
odwiozę (odwieźć),I will give a lift back,,conjugation
odwozić,to give a lift back (repeated),,verb
odwołać,to cancel/withdraw (once),,perf verb
odwoływać,to cancel/withdraw (repeated),,verb
odwrotny,opposite II,,adjective
odwzajemniać,to reciprocate (repeated),,verb
odwzajemnić,to reciprocate (once),,perf verb
odziedziczyć,to inherit (once),,perf verb
odzież,clothes/clothing,,f noun
odzieżowy,clothes/clothing,,adjective
odzyskać,to regain (once),,perf verb
odzyskiwać,to regain (repeated),,verb
odzywać,to speak (repeated),,verb
odłamek,sliver/shard/shrapnel,Nie ma odłamka,m noun
odłożyć,to put back (once),,perf verb
odświeżać,to refresh (repeated),,verb
odświeżyć,to refresh (once),,perf verb
odświętny,festive/ceremonial/showy,,adjective
odżywianie,nutrition,,n noun
odżywiać,to feed/nourish (repeated),,verb
odżywiony,nourished,,adjective
odżywić,to feed/nourish (once),,perf verb
ofiara,victim,,f noun
oglądać,to watch/look at (repeated),,verb
ognisko,bonfire/campfire,Ognisko domowe,n noun
ogniwo,link,,n noun
ograniczać,to restrict/limit/reduce (repeated),,verb
ograniczenie,limitation,,n noun
ograniczyć,to restrict/limit/reduce (once),,perf verb
ogrodzenie,fence II,,n noun
ogrzać,to warm up (once),,perf verb
ogrzewać,to warm up (repeated),,verb
ogólnodostępny,readily accessible or available,,adjective
ogólnokształcący,general education,,adjective
ogłoszenie,notice/announcement,,n noun
ohydny,hideous I,,adjective
ojczym,stepfather,,m noun
ojczysty,native I,,adjective
ojczyzna,homeland/motherland,,f noun
okalający,surrounding/encircling,,adjective
okaz,specimen,Nie ma okazu,m noun
okazać,to display (once),,perf verb
okazywać,to display (repeated),,verb
okleina,veneer,,f noun
okleić,to stick (over) (once),,perf verb
oklejać,to stick (over) (repeated),,verb
okolica,neighbourhood I,"W tej okolicy, nie ma ławek!",f noun
okolicznościowy,occasional,,adjective
okoliczność,circumstance,,f noun
określenie,term/designation,,n noun
określony,specific,,adjective
okruch,crumb,,m noun
okrucieństwo,cruelty,,n noun
okrutny,cruel/severe/savage,,adjective
okrycie,covering/garment/coat,,n noun
okrzyk,shout/cry/exclamation,Nie ma okrzyku,m noun
okręt,ship,Nie ma okrętu,m noun
okup,ransom,Nie ma okupu,m noun
okłamać kogoś,to deceive (or lie to) somebody (once),,perf verb
okłamiesz kogoś (okłamać kogoś),You will deceive somebody,,conjugation
okłamię kogoś (okłamać kogoś),I will deceive somebody,,conjugation
okłamywać kogoś,to deceive (or lie to) somebody (repeated),,verb
olbrzymi,gigantic,,adjective
olśniewać,to dazzle (repeated),,verb
olśnić,to dazzle (once),,perf verb
omijać,to bypass/avoid/evade (repeated),,verb
ominąć,to bypass/avoid/evade (once),,perf verb
oniemieć,to be struck dumb,,verb
opar,fume/mist/vapour,Nie ma oparu,m noun
opaska,bandage/armband,,f noun
opieka,care,,f noun
opiekować się,to look after (repeated),,verb
opiekun,carer,,m noun
opierać,to lean/rest (repeated),,verb
opinia,opinion,,f noun
opis,description,Czytaj opis! (Read the description!),m noun
opisać,to describe (once),,perf verb
opisywać,to describe (repeated),,verb
opodal,nearby,,adverb
opona,tyre,,f noun
opowieść,story/tale,,f noun
oprogramowanie,software,,n noun
oprzeć,to lean/rest (once),,perf verb
oprócz,"except, apart from",,preposition
opróżniać,to empty (repeated),,verb
opróżnić,to empty (once),,perf verb
opustoszały,deserted,,adjective
opuszczać,to abandon/leave (repeated),,verb
opuścić,to abandon/leave (once),,perf verb
opór,resistance/drag/reluctance,Nie ma oporu,m noun
opóźniać,to delay/retard (repeated),,verb
opóźnić,to delay/retard (once),,perf verb
opętany,possessed,,adjective
opłakany,deplorable/lamentable,,adjective
opłata,charge/fee/fare,,f noun
opłatek,wafer,Nie ma opłatka,m noun
opłukać,to rinse (once),,perf verb
orzec,to rule/adjudicate (once),,perf verb
orzekać,to rule/adjudicate (repeated),,verb
orzeł,eagle,Widzę orła,m noun
osada,settlement,,f noun
osadzać,to embed (repeated),,verb
osadzić,to embed (once),,perf verb
oschły,stiff,,adjective
osiedlać,to settle (repeated),,verb
osiedle,(housing) estate,,n noun
osiedlić,to settle (once),,perf verb
osierocić,to orphan,,verb
osiągać,to achieve (repeated),,verb
osiągnąć,to achieve (once),"Nie osiągnęliśmy tego, co chcemy osiągnąć",perf verb
oskarżać kogoś o coś,to accuse somebody of something (repeated),,verb
oskarżyć kogoś o coś,to accuse somebody of something (once),,perf verb
osmalony,blackened/charred,,adjective
osnuty na czymś,based on something,,adjective
osobisty,personal,,adjective
osobiście,personally,,adverb
osobliwy,peculiar,,adjective
osobno,separately/apart I,,adverb
osobność,privacy,,f noun
osobowość,personality,Ale masz wspaniała osobowość!,f noun
ostatecznie,eventually/ultimately,,adverb
ostrość,sharpness,,f noun
ostrożnie,carefully,,adverb
ostrze,edge/blade,,n noun
ostrzec,to warn (once),,perf verb
ostrzegać,to warn (repeated),,verb
ostrzegę (ostrzec),I will warn,,conjugation
ostrzeżenie,warning,,n noun
ostrzeżesz (ostrzec),You will warn,,conjugation
ostrzyć,to sharpen (repeated),,verb
ostygnąć,to cool down (once),,perf verb
osunąć się,to subside/slip/sink (once),,perf verb
osuwać się,to subside/slip/sink (repeated),,verb
oszacować,to estimate/assess (once),,perf verb
oszczędność,thriftiness,,f noun
oszczędzać,to save/economize (repeated),,verb
oszczędzić,to save/economize (once),,perf verb
oszust,swindler/conman,,m noun
oszustwo,fraud/deception,,n noun
osądzić,to think/suppose (once),,perf verb
osłabiać,to weaken (repeated),,verb
osłabić,to weaken (once),,perf verb
osłodzić,to sweeten (once),,perf verb
osłona,cover/shield,,f noun
otaczać,to surround (repeated),,verb
oto,here is/are,Oto rezultaty badań (Here are the results of the study),
otoczenie,surroundings,,n noun
otoczyć,to surround (once),,perf verb
otruć kogoś czymś,to poison somebody with something (once),,perf verb
otrzymać,to receive/obtain (once),,perf verb
otrzymywać,to receive/obtain (repeated),,verb
otucha,comfort/encouragement/uplift,,f noun
otulać,to wrap (repeated),,verb
otulić,to wrap (once),,perf verb
otwór,hole,Nie ma otworu,m noun
otynkować,to plaster (once),,perf verb
otyły,obese,,adjective
otępiały,spaced-out,,adjective
owad,insect,Nie ma owada,m noun
owdowieć,to be widowed,,verb
owijać,to wrap around (repeated),,verb
owinąć,to wrap around (once),,perf verb
owszem,indeed,,particle
ozdabiać,to decorate (repeated),,verb
ozdoba,decoration/ornament,,f noun
ozdobić,to decorate (once),,perf verb
oznajmiać,to announce I (repeated),,verb
oznajmić,to announce I (once),,perf verb
oznaka,symptom/sign/indicator,,f noun
